"ingredients","location","price","business","dish","date"
"Bio;Vegan;Vegetarian","Adlershof","4","Jouis Nour","Kichererbsensüppchen mit frischen Kräutern","9.8.2017"
"Bio","Adlershof","7.5","Jouis Nour","Gebratene Hähnchenkeule mit Backkartoffeln, Sour Cream und Cole Slaw","9.8.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Tagliatelle mit Pfifferling-Rahmsauce und Petersilienschmand","9.8.2017"
"Bio;Soup","Adlershof","5","Jouis Nour","Fleisch-Soljanka mit saurer Sahne und frischen Kräutern","10.8.2017"
"Fish","Adlershof","7.9","Jouis Nour","Kabeljau an Currygemüse mit Basmatireis und buntem Blattsalat","10.8.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Spinat-Lasagne mit Frischkäsesauce","10.8.2017"
"Bio;Vegan;Vegetarian","Adlershof","4","Jouis Nour","Minestrone mit Knackigen Croutons","11.8.2017"
"Bio","Adlershof","7","Jouis Nour","Boulette nach Balkan Art mit Feta und Peperoni, dazu grüne Bohnen und Kartoffeln","11.8.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Bulgur Gemüseüfanne mit gepufften Buchweizen und Pestosauce","11.8.2017"
"Bio;Vegan;Vegetarian;Soup","Adlershof","4","Jouis Nour","Süßkartoffelsuppe mit Blattspinat und Tomatenwürfeln","14.8.2017"
"Bio","Adlershof","7","Jouis Nour","Hackfleisch-Kohlpfanne mit Salzkartoffeln","14.8.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Gemüseteller mit Holländischer Sauce","14.8.2017"
"Bio;Vegetarian;Soup","Adlershof","4","Jouis Nour","Tomatensuppe mit Basilikum-Schmand","15.8.2017"
"Bio","Adlershof","7.5","Jouis Nour","Gefülltes Putensteak mit Brokkoli und Kurkumareis","15.8.2017"
"ingredients","location","price","business","dish","date"
"Soup","Adlershof","4.00","Sonnenschein","Gulaschsuppe & 1 Brötchen","07.08.2017"
"","Adlershof","6.00","Sonnenschein","Hähnchenroulade mit Spinat-Feta-Füllung, Nudeln, Spinatrahmsauce","07.08.2017"
"","Adlershof","6.00","Sonnenschein","Kohlrouladen auf Karotten-Kartoffeln-Gemüse in Sauce","07.08.2017"
"","Adlershof","6.00","Sonnenschein","Überbackene Roastbeef Steak, Bratkartoffeln, Möhrengemüse, Del.sauce","07.08.2017"
"Vegetarian","Adlershof","5.00","Sonnenschein","Brokkoli-Kräuter-Pasta (vegetarisch)","07.08.2017"
"Soup","Adlershof","4.00","Sonnenschein","Kürbiscurrysuppe mit Gemüse & 1 Brötchen","08.08.2017"
"","Adlershof","6.00","Sonnenschein","Rindertopf mit Kichererbsen in Cherry Tomaten Sauce, Butterkartoffeln","08.08.2017"
"","Adlershof","6.00","Sonnenschein","Hühnchen Peperonata, Reis & frische Oregano","08.08.2017"
"","Adlershof","6.00","Sonnenschein","Mit Schweine gehacktem gefüllte Paprika, Butterkartoffeln, Erbsen, Del.sauce","08.08.2017"
"Vegetarian","Adlershof","5.00","Sonnenschein","Kartoffeln-Zucchini-Auberginen-Auflauf, Salat, (vegetarisch)","08.08.2017"
"Soup","Adlershof","4.00","Sonnenschein","Gemüsesuppe mit rote Linsen und Würstchen & 1 Brötchen","09.08.2017"
