"price","dish","date","ingredients","business","location"
"4,40","Tomaten-Basilikum-Creme mit Mozzarella und Sahne","26.07.2017","","Suppencult","Alexanderplatz"
"4,40","Tomaten-Basilikum-Creme mit Mozzarella und Sahne","27.07.2017","","Suppencult","Alexanderplatz"
"4,40","Tomaten-Basilikum-Creme mit Mozzarella und Sahne","28.07.2017","","Suppencult","Alexanderplatz"
"4,25","Rote Linsen - Kokoscrème mit Chili und frischem Koriander","24.07.2017","","Suppencult","Alexanderplatz"
"4,25","Rote Linsen - Kokoscrème mit Chili und frischem Koriander","25.07.2017","","Suppencult","Alexanderplatz"
"4,25","Rote Linsen - Kokoscrème mit Chili und frischem Koriander","26.07.2017","","Suppencult","Alexanderplatz"
"4,25","Rote Linsen - Kokoscrème mit Chili und frischem Koriander","27.07.2017","","Suppencult","Alexanderplatz"
"price","dish","date","ingredients","business","location"
"4.00","Bauerneintopf mit Schweine Koch Klopse & 1 Brötchen","24.07.2017","","Sonnenschein","Adlershof"
"6.00","Rinderroulade in Del.sauce, Apfelrotkohl, Butterkartoffeln","24.07.2017","","Sonnenschein","Adlershof"
"6.00","Hühnerbrust mit Gemüse Julien unter Pesto Sauce, Nudeln, kl. Salat","24.07.2017","","Sonnenschein","Adlershof"
"5.90","Schweine Paprika Gulasch Ungarische Art, Butterkartoffeln oder Nudeln","24.07.2017","","Sonnenschein","Adlershof"
"5.00","Kohlrouladen zu Gemüsewürfeln in Tomatensauce(vegetarisch)","24.07.2017","Vegetarian","Sonnenschein","Adlershof"
"4.00","Fischsuppe (aus Fischfilet) & 1 Brötchen","25.07.2017","Fish;Soup","Sonnenschein","Adlershof"
"6.00","Mit Hühnerhack & Käse überbackene Auberginen, Reis, cremige Tomatensauce","25.07.2017","","Sonnenschein","Adlershof"
"6.00","Hüftsteak zu Kartoffeln-Möhren-Püree, Röstzwiebeln, Buttererbsen, Anjarsauce","25.07.2017","","Sonnenschein","Adlershof"
"6.00","Sommerliche gefüllte Paprikaschotte, Butterkartoffeln, Del.sauce & Erbsen","25.07.2017","","Sonnenschein","Adlershof"
