"ingredients","business","dish","price","location","date"
"Fish","Cafe Campus","Knackiger Salat mit gebratenem Lachsfilet","7.90","Adlershof","2017-09-12 00:00:00"
"Fish","Cafe Campus","Knackiger Salat mit gebratenem Lachsfilet","7.90","Adlershof","2017-09-13 00:00:00"
"Fish","Cafe Campus","Knackiger Salat mit gebratenem Lachsfilet","7.90","Adlershof","2017-09-14 00:00:00"
"Fish","Cafe Campus","Knackiger Salat mit gebratenem Lachsfilet","7.90","Adlershof","2017-09-15 00:00:00"
"","Cafe Campus","Wurstgulasch mit Nudeln","5.90","Adlershof","2017-09-11 00:00:00"
"","Cafe Campus","Wurstgulasch mit Nudeln","5.90","Adlershof","2017-09-12 00:00:00"
"","Cafe Campus","Wurstgulasch mit Nudeln","5.90","Adlershof","2017-09-13 00:00:00"
"","Cafe Campus","Wurstgulasch mit Nudeln","5.90","Adlershof","2017-09-14 00:00:00"
"","Cafe Campus","Wurstgulasch mit Nudeln","5.90","Adlershof","2017-09-15 00:00:00"
"","Cafe Campus","2 Berliner Currywürste mit Bratkartoffeln","5.90","Adlershof","2017-09-11 00:00:00"
"","Cafe Campus","2 Berliner Currywürste mit Bratkartoffeln","5.90","Adlershof","2017-09-12 00:00:00"
"","Cafe Campus","2 Berliner Currywürste mit Bratkartoffeln","5.90","Adlershof","2017-09-13 00:00:00"
"","Cafe Campus","2 Berliner Currywürste mit Bratkartoffeln","5.90","Adlershof","2017-09-14 00:00:00"
"","Cafe Campus","2 Berliner Currywürste mit Bratkartoffeln","5.90","Adlershof","2017-09-15 00:00:00"
"","Cafe Campus","Gefüllte Paprikaschote mit Reis","6.90","Adlershof","2017-09-11 00:00:00"
"","Cafe Campus","Gefüllte Paprikaschote mit Reis","6.90","Adlershof","2017-09-12 00:00:00"
"","Cafe Campus","Gefüllte Paprikaschote mit Reis","6.90","Adlershof","2017-09-13 00:00:00"
"","Cafe Campus","Gefüllte Paprikaschote mit Reis","6.90","Adlershof","2017-09-14 00:00:00"
"","Cafe Campus","Gefüllte Paprikaschote mit Reis","6.90","Adlershof","2017-09-15 00:00:00"
"ingredients","business","dish","price","location","date"
"Vegetarian;Soup","Albert","Schwarzwurzelcremesuppe mit Kresse","3.90","Adlershof","2017-09-11 00:00:00"
"Vegetarian","Albert","Penne „Arrabiata“ mit Parmesan & Rucola","5.00","Adlershof","2017-09-11 00:00:00"
"","Albert","Tandoori- Chicken mit Wokgemüse & Korianderreis","5.80","Adlershof","2017-09-11 00:00:00"
"","Albert","Thailändische Tom Kha Gai","4.00","Adlershof","2017-09-12 00:00:00"
"Vegetarian","Albert","Überbackene Kraut - Schupfnudeln","5.00","Adlershof","2017-09-12 00:00:00"
