"business","location","ingredients","date","dish","price"
"Jouis Nour","Adlershof","Bio","18.7.2017","Griechischer Hackfleisch-Auflauf mit Bohnen und Fetakäse an Kräauterquark","7.5"
"Jouis Nour","Adlershof","Vegetarian;Vegan;Bio","18.7.2017","Gemüse-Quinoa-Pfanne mit Naturreis und einer leichten Curry-Sauce","5.9"
"Jouis Nour","Adlershof","Vegetarian;Bio;Soup","18.7.2017","Toskanische Zuppa del Contadino (Bauersuppe) m. Dinkel u. geriebene Käse","4"
"Jouis Nour","Adlershof","Bio","19.7.2017","Rinder-Rahmgeschnetzeltes mit Kartoffelpüree und Champignons","7.5"
"Jouis Nour","Adlershof","Vegetarian;Bio","19.7.2017","Spagetthi mit Oliven, Peperoni, Käse und frischen Kräutern, dazu Salat","5.5"
"Jouis Nour","Adlershof","Vegetarian;Vegan;Bio","19.7.2017","Grüner Bohnen-Eintopf mit Sonnenblumenkernen","4.5"
"Jouis Nour","Adlershof","Fish","20.7.2017","Seelachs mit Rahmlinsen, bunten Reis und grüner Salat","7.9"
"Jouis Nour","Adlershof","Vegetarian;Bio","20.7.2017","Kartoffel-Pfifferlingsauflauf mit Lauchstreifen und Kräaterkruste","5.9"
"Jouis Nour","Adlershof","Vegetarian;Bio;Soup","20.7.2017","Kohlrabicreme-Suppe mit Schnittlauch","4"
"Jouis Nour","Adlershof","Bio","21.7.2017","Klopse “Königsberger Art” mit Rote Beete und Kartoffelpüree","7"
"Jouis Nour","Adlershof","Vegetarian;Bio","21.7.2017","Bunte Gemüse-Schupfnudeln-Pfanne mit Pesto","5.5"
"Jouis Nour","Adlershof","Vegetarian;Vegan;Bio","21.7.2017","Blumenkohl-Süppchen mit gerösteten Haferflocken","4"
"Jouis Nour","Adlershof","Bio","24.7.2017","Schaschlik-Spieß mit ungarische, Letscho und Reis","7.5"
"Jouis Nour","Adlershof","Vegetarian;Bio","24.7.2017","Gebackene Rosmarin-Ofenkartoffeln mit Ratatouille-Gemüse und Paprika Schmand","5.9"
"Jouis Nour","Adlershof","Vegetarian;Vegan;Bio;Soup","24.7.2017","Paprika-Mais Suppe mit Sonnenblumenkerne","4"
"Jouis Nour","Adlershof","Bio","25.7.2017","Bratwurst auf Weinsauerkraut mit Petersilienkartoffeln und Kräutersenfsauce","7"
