"business","price","dish","ingredients","date","location"
"Jouis Nour","5.9","Tagliatelle mit Pfifferling-Rahmsauce und Petersilienschmand","Bio;Vegetarian","9.8.2017","Adlershof"
"Jouis Nour","5","Fleisch-Soljanka mit saurer Sahne und frischen Kräutern","Bio;Soup","10.8.2017","Adlershof"
"Jouis Nour","7.9","Kabeljau an Currygemüse mit Basmatireis und buntem Blattsalat","Fish","10.8.2017","Adlershof"
"Jouis Nour","5.9","Spinat-Lasagne mit Frischkäsesauce","Bio;Vegetarian","10.8.2017","Adlershof"
"Jouis Nour","4","Minestrone mit Knackigen Croutons","Vegan;Bio;Vegetarian","11.8.2017","Adlershof"
"Jouis Nour","7","Boulette nach Balkan Art mit Feta und Peperoni, dazu grüne Bohnen und Kartoffeln","Bio","11.8.2017","Adlershof"
"Jouis Nour","5.9","Bulgur Gemüseüfanne mit gepufften Buchweizen und Pestosauce","Bio;Vegetarian","11.8.2017","Adlershof"
"Jouis Nour","4","Süßkartoffelsuppe mit Blattspinat und Tomatenwürfeln","Vegan;Bio;Vegetarian;Soup","14.8.2017","Adlershof"
"Jouis Nour","7","Hackfleisch-Kohlpfanne mit Salzkartoffeln","Bio","14.8.2017","Adlershof"
"Jouis Nour","5.9","Gemüseteller mit Holländischer Sauce","Bio;Vegetarian","14.8.2017","Adlershof"
"Jouis Nour","4","Tomatensuppe mit Basilikum-Schmand","Bio;Vegetarian;Soup","15.8.2017","Adlershof"
"Jouis Nour","7.5","Gefülltes Putensteak mit Brokkoli und Kurkumareis","Bio","15.8.2017","Adlershof"
"business","price","dish","ingredients","date","location"
"Sonnenschein","4.00","Gulaschsuppe & 1 Brötchen","Soup","07.08.2017","Adlershof"
"Sonnenschein","6.00","Hähnchenroulade mit Spinat-Feta-Füllung, Nudeln, Spinatrahmsauce","","07.08.2017","Adlershof"
"Sonnenschein","6.00","Kohlrouladen auf Karotten-Kartoffeln-Gemüse in Sauce","","07.08.2017","Adlershof"
"Sonnenschein","6.00","Überbackene Roastbeef Steak, Bratkartoffeln, Möhrengemüse, Del.sauce","","07.08.2017","Adlershof"
"Sonnenschein","5.00","Brokkoli-Kräuter-Pasta (vegetarisch)","Vegetarian","07.08.2017","Adlershof"
