"location","price","dish","ingredients","date","business"
"Adlershof","5.9","Bunte Gemüse-Gnocchipfanne an Kräuterrahm","Bio;Vegetarian","7.8.2017","Jouis Nour"
"Adlershof","4","Brokkolisuppe mit Tomatenwürfel und Sonnenblumenkernen","Soup;Bio;Vegetarian","8.8.2017","Jouis Nour"
"Adlershof","7.5","Mini Grillhaxen mit Sellerie-Kartoffelpüree und Malzbiersauce","Bio","8.8.2017","Jouis Nour"
"Adlershof","5.9","Orientalische Gemüse Cous Cous Pfanne mit Joghurt-Minz-Dip","Bio;Vegetarian","8.8.2017","Jouis Nour"
"Adlershof","4","Kichererbsensüppchen mit frischen Kräutern","Bio;Vegetarian;Vegan","9.8.2017","Jouis Nour"
"Adlershof","7.5","Gebratene Hähnchenkeule mit Backkartoffeln, Sour Cream und Cole Slaw","Bio","9.8.2017","Jouis Nour"
"Adlershof","5.9","Tagliatelle mit Pfifferling-Rahmsauce und Petersilienschmand","Bio;Vegetarian","9.8.2017","Jouis Nour"
"Adlershof","5","Fleisch-Soljanka mit saurer Sahne und frischen Kräutern","Soup;Bio","10.8.2017","Jouis Nour"
"Adlershof","7.9","Kabeljau an Currygemüse mit Basmatireis und buntem Blattsalat","Fish","10.8.2017","Jouis Nour"
"Adlershof","5.9","Spinat-Lasagne mit Frischkäsesauce","Bio;Vegetarian","10.8.2017","Jouis Nour"
"Adlershof","4","Minestrone mit Knackigen Croutons","Bio;Vegetarian;Vegan","11.8.2017","Jouis Nour"
"Adlershof","7","Boulette nach Balkan Art mit Feta und Peperoni, dazu grüne Bohnen und Kartoffeln","Bio","11.8.2017","Jouis Nour"
"Adlershof","5.9","Bulgur Gemüseüfanne mit gepufften Buchweizen und Pestosauce","Bio;Vegetarian","11.8.2017","Jouis Nour"
"Adlershof","4","Süßkartoffelsuppe mit Blattspinat und Tomatenwürfeln","Soup;Bio;Vegetarian;Vegan","14.8.2017","Jouis Nour"
"Adlershof","7","Hackfleisch-Kohlpfanne mit Salzkartoffeln","Bio","14.8.2017","Jouis Nour"
"Adlershof","5.9","Gemüseteller mit Holländischer Sauce","Bio;Vegetarian","14.8.2017","Jouis Nour"
"Adlershof","4","Tomatensuppe mit Basilikum-Schmand","Soup;Bio;Vegetarian","15.8.2017","Jouis Nour"
"Adlershof","7.5","Gefülltes Putensteak mit Brokkoli und Kurkumareis","Bio","15.8.2017","Jouis Nour"
"location","price","dish","ingredients","date","business"
"Adlershof","4.00","Hühner-Gemüse-Suppe mit Käsestangen& 1 Brötchen","Soup","14.08.2017","Sonnenschein"
"Adlershof","6.00","Hüftsteak mit Möhrenwürfeln & Kichererbsen in Paprikasauce, Butterkartoffeln","","14.08.2017","Sonnenschein"
"Adlershof","6.00","Hühnerbrust mit grüne Bohnen in Tomatensauce überbacken mit Feta Gr. Art, Reis","","14.08.2017","Sonnenschein"
